customer_id,customer_name,segment,region,first_order_date,last_order_date,total_orders,total_revenue,total_profit,total_quantity,avg_order_value,is_repeat_customer
AA-10315,Alex Avila,Consumer,Central,2014-03-31,2017-06-29,5,5563.56,-362.8825,30,1112.712,True
AA-10375,Allen Armold,Consumer,West,2014-04-21,2017-12-11,9,1056.39,277.3824,41,117.37666666666668,True
AA-10480,Andrew Allen,Consumer,South,2014-05-04,2017-04-15,4,1790.5120000000002,435.8274,36,447.62800000000004,True
AA-10645,Anna Andreadi,Consumer,East,2014-06-22,2017-11-05,6,5086.9349999999995,857.8033,64,847.8224999999999,True
AB-10015,Aaron Bergman,Consumer,West,2014-02-18,2016-11-10,3,886.156,129.3465,13,295.38533333333334,True
AB-10060,Adam Bellavance,Home Office,East,2015-09-18,2017-11-06,8,7755.62,2054.5885,56,969.4525,True
AB-10105,Adrian Barton,Consumer,West,2014-12-20,2017-11-19,10,14473.570999999998,5444.8055,73,1447.3570999999997,True
AB-10150,Aimee Bixby,Consumer,East,2014-03-05,2017-11-19,5,966.71,313.6597,37,193.342,True
AB-10165,Alan Barnes,Consumer,West,2014-11-16,2017-12-05,8,1113.838,220.813,48,139.22975,True
AB-10255,Alejandro Ballentine,Home Office,East,2014-07-22,2017-07-17,9,914.5319999999999,264.5675,39,101.61466666666666,True
AB-10600,Ann Blume,Corporate,West,2014-11-18,2017-11-10,4,1515.862,-274.9604,38,378.9655,True
AC-10420,Alyssa Crouse,Corporate,West,2014-07-12,2017-05-12,3,925.8,-62.1342,17,308.59999999999997,True
AC-10450,Amy Cox,Consumer,Central,2014-10-31,2017-12-19,7,5527.846,1366.0098,43,789.6922857142856,True
AC-10615,Ann Chong,Corporate,East,2015-09-15,2017-12-24,5,2537.6859999999997,298.8273,59,507.5371999999999,True
AC-10660,Anna Chung,Consumer,Central,2014-10-15,2017-03-23,5,657.316,-28.700399999999995,16,131.4632,True
AD-10180,Alan Dominguez,Home Office,Central,2014-11-19,2017-12-01,8,6106.88,1869.9294,40,763.36,True
AF-10870,Art Ferguson,Consumer,Central,2015-12-06,2017-11-19,7,2052.908,317.9712,51,293.27257142857144,True
AF-10885,Art Foster,Consumer,South,2014-05-10,2016-11-10,4,861.565,-163.1175,37,215.39125,True
AG-10270,Alejandro Grove,Consumer,West,2014-05-13,2017-03-27,5,2582.898,732.7399,58,516.5796,True
AG-10300,Aleksandra Gannaway,Corporate,West,2014-04-26,2017-09-03,4,367.548,59.288399999999996,16,91.887,True
