customer_id,customer_name,segment,region,first_order_date,last_order_date,total_orders,total_revenue,total_profit,total_quantity,avg_order_value,is_repeat_customer,days_since_last_order,is_churned_customer,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
AA-10315,Alex Avila,Consumer,Central,2014-03-31,2017-06-29,5,5563.56,-362.8825,30,1112.712,True,184,True,184,5,5563.56,1,1,4,114,Lost / Low Value
AA-10375,Allen Armold,Consumer,West,2014-04-21,2017-12-11,9,1056.39,277.3824,41,117.37666666666668,True,19,False,19,9,1056.39,4,4,1,441,Loyal Customers
AA-10480,Andrew Allen,Consumer,South,2014-05-04,2017-04-15,4,1790.5120000000002,435.8274,36,447.62800000000004,True,259,True,259,4,1790.5120000000002,1,1,2,112,Lost / Low Value
AA-10645,Anna Andreadi,Consumer,East,2014-06-22,2017-11-05,6,5086.9349999999995,857.8033,64,847.8224999999999,True,55,False,55,6,5086.9349999999995,3,2,4,324,Potential Loyalists
AB-10015,Aaron Bergman,Consumer,West,2014-02-18,2016-11-10,3,886.156,129.3465,13,295.38533333333334,True,415,True,415,3,886.156,1,1,1,111,Lost / Low Value
AB-10060,Adam Bellavance,Home Office,East,2015-09-18,2017-11-06,8,7755.62,2054.5885,56,969.4525,True,54,False,54,8,7755.62,3,3,4,334,Champions
AB-10105,Adrian Barton,Consumer,West,2014-12-20,2017-11-19,10,14473.570999999998,5444.8055,73,1447.3570999999997,True,41,False,41,10,14473.570999999998,3,4,4,344,Champions
AB-10150,Aimee Bixby,Consumer,East,2014-03-05,2017-11-19,5,966.71,313.6597,37,193.342,True,41,False,41,5,966.71,3,1,1,311,Potential Loyalists
AB-10165,Alan Barnes,Consumer,West,2014-11-16,2017-12-05,8,1113.838,220.813,48,139.22975,True,25,False,25,8,1113.838,4,3,1,431,Loyal Customers
AB-10255,Alejandro Ballentine,Home Office,East,2014-07-22,2017-07-17,9,914.5319999999999,264.5675,39,101.61466666666666,True,166,True,166,9,914.5319999999999,2,4,1,241,At Risk
AB-10600,Ann Blume,Corporate,West,2014-11-18,2017-11-10,4,1515.862,-274.9604,38,378.9655,True,50,False,50,4,1515.862,3,1,2,312,Potential Loyalists
AC-10420,Alyssa Crouse,Corporate,West,2014-07-12,2017-05-12,3,925.8,-62.1342,17,308.59999999999997,True,232,True,232,3,925.8,1,1,1,111,Lost / Low Value
AC-10450,Amy Cox,Consumer,Central,2014-10-31,2017-12-19,7,5527.846,1366.0098,43,789.6922857142856,True,11,False,11,7,5527.846,4,3,4,434,Champions
AC-10615,Ann Chong,Corporate,East,2015-09-15,2017-12-24,5,2537.6859999999997,298.8273,59,507.5371999999999,True,6,False,6,5,2537.6859999999997,4,1,3,413,Potential Loyalists
AC-10660,Anna Chung,Consumer,Central,2014-10-15,2017-03-23,5,657.316,-28.700399999999995,16,131.4632,True,282,True,282,5,657.316,1,1,1,111,Lost / Low Value
AD-10180,Alan Dominguez,Home Office,Central,2014-11-19,2017-12-01,8,6106.88,1869.9294,40,763.36,True,29,False,29,8,6106.88,4,3,4,434,Champions
AF-10870,Art Ferguson,Consumer,Central,2015-12-06,2017-11-19,7,2052.908,317.9712,51,293.27257142857144,True,41,False,41,7,2052.908,3,3,2,332,Loyal Customers
AF-10885,Art Foster,Consumer,South,2014-05-10,2016-11-10,4,861.565,-163.1175,37,215.39125,True,415,True,415,4,861.565,1,1,1,111,Lost / Low Value
AG-10270,Alejandro Grove,Consumer,West,2014-05-13,2017-03-27,5,2582.898,732.7399,58,516.5796,True,278,True,278,5,2582.898,1,2,3,123,Lost / Low Value
AG-10300,Aleksandra Gannaway,Corporate,West,2014-04-26,2017-09-03,4,367.548,59.288399999999996,16,91.887,True,118,True,118,4,367.548,2,1,1,211,Lost / Low Value
AG-10330,Alex Grayson,Consumer,West,2016-08-03,2017-12-22,5,660.972,-5.137100000000006,47,132.1944,True,8,False,8,5,660.972,4,2,1,421,Potential Loyalists
AG-10390,Allen Goldenen,Consumer,East,2014-04-19,2017-09-07,5,200.945,69.2784,33,40.189,True,114,True,114,5,200.945,2,2,1,221,Lost / Low Value
AG-10495,Andrew Gjertsen,Corporate,East,2015-01-04,2017-10-13,8,2356.855,295.6668,93,294.606875,True,78,False,78,8,2356.855,2,3,3,233,At Risk
AG-10525,Andy Gerbode,Corporate,South,2014-08-09,2015-09-07,4,1455.038,-152.7613,33,363.7595,True,845,True,845,4,1455.038,1,1,2,112,Lost / Low Value
AG-10675,Anna Gayman,Consumer,Central,2015-05-07,2017-09-24,7,3489.0396000000005,-246.42570000000003,54,498.43422857142866,True,97,True,97,7,3489.0396000000005,2,3,3,233,At Risk
AG-10765,Anthony Garverick,Home Office,East,2014-09-17,2017-10-14,4,170.584,-8.431000000000001,20,42.646,True,77,False,77,4,170.584,2,1,1,211,Lost / Low Value
AG-10900,Arthur Gainer,Consumer,West,2014-07-23,2017-09-25,10,4510.797,343.6824,92,451.07969999999995,True,96,True,96,10,4510.797,2,4,4,244,At Risk
AH-10030,Aaron Hawkins,Corporate,East,2014-04-22,2017-12-18,7,1744.7,365.2152,54,249.24285714285716,True,12,False,12,7,1744.7,4,3,2,432,Loyal Customers
AH-10075,Adam Hart,Corporate,East,2014-11-16,2017-11-26,10,3250.337,281.189,75,325.0337,True,34,False,34,10,3250.337,3,4,3,343,Champions
AH-10120,Adrian Hane,Home Office,West,2014-07-18,2017-10-31,7,1735.5140000000001,-2.3145999999999773,65,247.93057142857145,True,60,False,60,7,1735.5140000000001,3,3,2,332,Loyal Customers
AH-10195,Alan Haines,Corporate,South,2015-03-05,2017-11-05,4,1587.452,-378.5509,28,396.863,True,55,False,55,4,1587.452,3,1,2,312,Potential Loyalists
AH-10210,Alan Hwang,Consumer,West,2014-11-29,2017-12-24,9,4805.344,1308.5546,53,533.9271111111111,True,6,False,6,9,4805.344,4,4,4,444,Champions
AH-10465,Amy Hunt,Consumer,East,2015-01-03,2017-05-14,5,2495.3916,-196.12009999999998,35,499.07831999999996,True,230,True,230,5,2495.3916,1,2,3,123,Lost / Low Value
AH-10585,Angele Hood,Consumer,Central,2014-10-26,2017-12-09,4,738.504,83.96300000000001,17,184.626,True,21,False,21,4,738.504,4,1,1,411,Potential Loyalists
AH-10690,Anna Häberlin,Corporate,East,2014-04-02,2016-11-15,12,7888.294,1298.0166,102,657.3578333333334,True,410,True,410,12,7888.294,1,4,4,144,At Risk
AI-10855,Arianne Irving,Consumer,East,2014-04-28,2017-12-17,10,4375.786,867.7271000000001,72,437.5786,True,13,False,13,10,4375.786,4,4,4,444,Champions
AJ-10780,Anthony Jacobs,Corporate,South,2014-01-10,2017-10-16,7,4867.344,150.71300000000005,62,695.3348571428571,True,75,False,75,7,4867.344,3,3,4,334,Champions
AJ-10795,Anthony Johnson,Corporate,South,2014-05-14,2017-07-17,7,4501.391,1158.7064,88,643.0558571428571,True,166,True,166,7,4501.391,2,3,4,234,At Risk
AJ-10945,Ashley Jarboe,Consumer,South,2014-03-03,2017-10-06,7,1839.24,521.1351999999999,40,262.74857142857144,True,85,False,85,7,1839.24,2,3,2,232,At Risk
AJ-10960,Astrea Jones,Consumer,East,2014-09-14,2017-10-17,3,629.2479999999999,60.4265,22,209.7493333333333,True,74,False,74,3,629.2479999999999,3,1,1,311,Potential Loyalists
AM-10360,Alice McCarthy,Corporate,Central,2014-10-06,2017-12-02,5,814.012,194.9878,48,162.80239999999998,True,28,False,28,5,814.012,4,2,1,421,Potential Loyalists
AM-10705,Anne McFarland,Consumer,South,2014-10-31,2017-07-21,8,5664.022,1085.7326,81,708.00275,True,162,True,162,8,5664.022,2,3,4,234,At Risk
AO-10810,Anthony O'Donnell,Corporate,West,2016-08-16,2016-08-16,1,161.28,12.096,2,161.28,False,501,True,501,1,161.28,1,1,1,111,Lost / Low Value
AP-10720,Anne Pryor,Home Office,East,2014-03-03,2017-11-19,8,1638.554,285.7888,85,204.81925,True,41,False,41,8,1638.554,3,3,2,332,Loyal Customers
AP-10915,Arthur Prichep,Consumer,South,2014-08-23,2017-09-23,10,3323.556,579.3113,102,332.3556,True,98,True,98,10,3323.556,2,4,3,243,At Risk
AR-10345,Alex Russell,Corporate,East,2014-12-30,2017-09-10,4,1055.694,-221.0544,18,263.9235,True,111,True,111,4,1055.694,2,1,1,211,Lost / Low Value
AR-10405,Allen Rosenblatt,Corporate,East,2014-10-03,2017-08-27,5,2236.128,-98.7646,29,447.22560000000004,True,125,True,125,5,2236.128,2,2,2,222,Lost / Low Value
AR-10510,Andrew Roberts,Consumer,East,2014-05-02,2017-12-16,5,264.86400000000003,43.6695,33,52.97280000000001,True,14,False,14,5,264.86400000000003,4,2,1,421,Potential Loyalists
AR-10540,Andy Reiter,Consumer,East,2014-11-25,2017-12-24,6,6608.448,2884.6208,33,1101.4080000000001,True,6,False,6,6,6608.448,4,2,4,424,Potential Loyalists
AR-10570,Anemone Ratner,Consumer,South,2016-07-14,2016-07-14,1,88.15,32.633,6,88.15,False,534,True,534,1,88.15,1,1,1,111,Lost / Low Value
AR-10825,Anthony Rawles,Corporate,West,2014-06-30,2017-11-02,8,4523.336,494.83519999999993,54,565.417,True,58,False,58,8,4523.336,3,3,4,334,Champions
AS-10045,Aaron Smayling,Corporate,South,2014-07-27,2017-10-03,7,3050.692,-253.57459999999998,48,435.81314285714285,True,88,False,88,7,3050.692,2,3,3,233,At Risk
AS-10090,Adam Shillingsburg,Consumer,South,2014-09-22,2017-12-02,9,3255.31,64.53739999999998,81,361.7011111111111,True,28,False,28,9,3255.31,4,4,3,443,Champions
AS-10135,Adrian Shami,Home Office,East,2016-11-13,2017-11-19,2,58.82,21.8496,9,29.41,True,41,False,41,2,58.82,3,1,1,311,Potential Loyalists
AS-10225,Alan Schoenberger,Corporate,East,2014-10-18,2017-12-08,5,4260.784,719.7751000000001,41,852.1568,True,22,False,22,5,4260.784,4,2,4,424,Potential Loyalists
AS-10240,Alan Shonely,Consumer,South,2014-03-15,2017-06-21,7,584.6080000000001,33.715799999999994,39,83.51542857142859,True,192,True,192,7,584.6080000000001,1,3,1,131,At Risk
AS-10285,Alejandro Savely,Corporate,West,2016-05-21,2017-12-11,6,3214.236,354.62760000000003,39,535.706,True,19,False,19,6,3214.236,4,2,3,423,Potential Loyalists
AS-10630,Ann Steele,Home Office,Central,2014-08-01,2017-09-29,7,833.398,136.49190000000002,34,119.05685714285714,True,92,True,92,7,833.398,2,3,1,231,At Risk
AT-10435,Alyssa Tate,Home Office,West,2014-11-24,2017-12-09,6,1171.814,100.87680000000002,28,195.30233333333334,True,21,False,21,6,1171.814,4,2,2,422,Potential Loyalists
AT-10735,Annie Thurman,Consumer,West,2014-08-30,2017-12-17,10,3831.864,974.107,60,383.1864,True,13,False,13,10,3831.864,4,4,4,444,Champions
